category	name	code	dualo_code	source
6 notes	Istrian mode	0,1,3,4,6,7	0,13,3,4,18,7,0,13,3,4,6,7	Wikipedia
6 notes	Tritone,Raga Indupriya (India),Petrushka Chord	0,1,4,6,7,10	0,13,4,18,7,10,0,13,4,6,7,10	Wikipedia,Harmonics.com
5 notes	Minyo,Raga Nata,Madhuranjani (India)	0,3,5,7,11	0,3,17,7,11	Wikipedia,Harmonics.com
8 notes	Adonai Malakh (Israel)	0,1,2,3,5,7,9,10	0,13,14,3,17,7,21,10	Harmonics.com
8 notes	Algerian	0,2,3,5,6,7,8,11	0,14,3,17,6,7,20,11,0,14,3,17,18,7,20,11	Harmonics.com
5 notes	Altered Pentatonic	0,1,5,7,9	0,13,17,7,21	Harmonics.com
5 notes	Balinese Pentatonic	0,1,4,6,7	0,13,4,18,7,0,13,4,6,7	Harmonics.com
7 notes	Bhairubahar Thaat (India)	0,1,4,5,7,9,11	0,13,4,17,7,21,11	Harmonics.com
5 notes	Blues #V,Blues#V (all b's)	0,3,5,6,11	0,3,17,18,11,0,3,17,6,11	Harmonics.com
6 notes	Blues Dorian Hex,Blues Dorian Hexatonic,Major Blues	0,2,3,4,7,9	0,14,3,4,7,21	Harmonics.com
6 notes	Blues Dorian Hexatonic	0,1,3,4,7,9	0,13,3,4,7,21	Harmonics.com
7 notes	Blues Heptatonic	0,3,5,6,7,9,10	0,3,17,18,7,21,10,0,3,17,6,7,21,10	Harmonics.com
6 notes	Blues Minor Maj7	0,3,5,6,7,11	0,3,17,18,7,11,0,3,17,6,7,11	Harmonics.com
7 notes	Blues Modified	0,2,3,5,6,7,10	0,14,3,17,18,7,10,0,14,3,17,6,7,10	Harmonics.com
8 notes	Blues Octatonic	0,2,3,5,6,7,9,10	0,14,3,17,6,7,21,10,0,14,3,17,18,7,21,10	Harmonics.com
7 notes	Blues Phrygian	0,1,3,5,6,7,10	0,13,3,17,18,7,10,0,13,3,17,6,7,10	Harmonics.com
7 notes	Chromatic Dorian,Raga Kanakambari (India)	0,1,2,5,7,8,9	0,13,14,17,7,20,21	Harmonics.com
7 notes	Chromatic Dorian Inverse Raga None (India)	0,3,4,5,7,10,11	0,3,4,17,7,10,11	Harmonics.com
7 notes	Chromatic Hypodorian	0,2,3,4,7,8,9	0,14,3,4,7,20,21	Harmonics.com
7 notes	Chromatic Hypodorian Inverse	0,3,4,5,8,9,10	0,3,4,17,20,21,10	Harmonics.com
7 notes	Chromatic Hypolydian,Puravi bVI	0,1,4,6,7,8,11	0,13,4,18,7,20,11,0,13,4,6,7,20,11	Harmonics.com
7 notes	Chromatic Hypophrygian Inverse	0,1,2,5,6,7,9	0,13,14,17,6,7,21,0,13,14,17,18,7,21	Harmonics.com
7 notes	Chromatic Lydian	0,1,4,5,6,9,11	0,13,4,17,6,21,11,0,13,4,17,18,21,11	Harmonics.com
7 notes	Chromatic Lydian Inverse,Todi bVI	0,1,3,6,7,8,11	0,13,3,18,7,20,11,0,13,3,6,7,20,11	Harmonics.com
7 notes	Chromatic Mixolydian	0,1,2,4,6,7,10	0,13,14,4,18,7,10,0,13,14,4,6,7,10	Harmonics.com
7 notes	Chromatic Mixolydian	0,1,2,5,6,7,10	0,13,14,17,6,7,10,0,13,14,17,18,7,10	Harmonics.com
7 notes	Chromatic Mixolydian Inverse	0,2,5,6,7,10,11	0,14,17,18,7,10,11,0,14,17,6,7,10,11	Harmonics.com
7 notes	Chromatic Phrygian	0,3,4,5,8,10,11	0,3,4,17,20,10,11	Harmonics.com
7 notes	Chromatic Phrygian Inverse	0,1,2,4,7,8,9	0,13,14,4,7,20,21	Harmonics.com
8 notes	Dorian Aeolian	0,2,3,5,7,8,9,10	0,14,3,17,7,20,21,10	Harmonics.com
7 notes	Dorian b5	0,2,3,5,6,9,10	0,14,3,17,6,21,10,0,14,3,17,18,21,10	Harmonics.com
6 notes	Double-Phrygian Hexatonic	0,1,3,5,6,9	0,13,3,17,6,21,0,13,3,17,18,21	Harmonics.com
8 notes	Enigmatic	0,1,4,5,6,8,10,11	0,13,4,17,6,20,10,11,0,13,4,17,18,20,10,11	Harmonics.com
7 notes	Enigmatic Descending	0,1,4,5,8,10,11	0,13,4,17,20,10,11	Harmonics.com
7 notes	Enigmatic Minor	0,1,3,6,8,10,11	0,13,3,18,20,10,11,0,13,3,6,20,10,11	Harmonics.com
6 notes	Eskimo Hexatonic 2	0,2,4,6,8,9	0,14,4,6,20,21,0,14,4,18,20,21	Harmonics.com
6 notes	Eskimo Hexatonic 2 (North America)	0,2,4,6,8,11	0,14,4,18,20,11,0,14,4,6,20,11	Harmonics.com
7 notes	Example Of Pelog,Mela Latangi (India),Mela Latangi (India) (b6)	0,2,4,6,7,8,11	0,14,4,18,7,20,11,0,14,4,6,7,20,11	Harmonics.com
6 notes	Genus Secundum	0,4,5,7,9,11	0,4,17,7,21,11	Harmonics.com
7 notes	Raga Kalakanti	0,1,5,6,8,9,10	0,13,17,6,20,21,10,0,13,17,18,20,21,10	Harmonics.com
7 notes	Gypsy Hexatonic	0,1,4,5,7,8,9	0,13,4,17,7,20,21	Harmonics.com
5 notes	Half Diminished plus b8	0,3,6,10,11	0,3,18,10,11,0,3,6,10,11	Harmonics.com
8 notes	Half-Dimiished Bebop	0,1,3,5,6,7,8,11	0,13,3,17,6,7,20,11,0,13,3,17,18,7,20,11	Harmonics.com
5 notes	Han - kumoi (Japan)	0,2,5,7,8	0,14,17,7,20	Harmonics.com
8 notes	Harmonic Neapolitan Minor	0,1,2,3,5,7,8,11	0,13,14,3,17,7,20,11	Harmonics.com
6 notes	Hawaiian,Nando Kyemyonjo (Korea)	0,2,3,7,9,11	0,14,3,7,21,11	Harmonics.com
6 notes	Honchoshi Plagal Form	0,1,3,5,6,10	0,13,3,17,6,10,0,13,3,17,18,10	Harmonics.com
7 notes	Houzam (Greece)   Raga Saildesakshi,Trishuli (India)	0,3,4,5,7,9,11	0,3,4,17,7,21,11	Harmonics.com
8 notes	Hungarian Minor b2	0,1,2,3,6,7,8,11	0,13,14,3,6,7,20,11,0,13,14,3,18,7,20,11	Harmonics.com
7 notes	Indian,Phrygian dim 4th	0,1,3,4,7,8,10	0,13,3,4,7,20,10	Harmonics.com
5 notes	Japanese Pentachord,Javanese Pentachord	0,1,3,6,7	0,13,3,18,7,0,13,3,6,7	Harmonics.com
8 notes	JG Octatonic,JG Octatonic  all 3b	0,1,3,4,5,7,9,10	0,13,3,4,17,7,21,10	Harmonics.com
5 notes	Kung	0,2,4,6,9	0,14,4,6,21,0,14,4,18,21	Harmonics.com
