code	name	en
0 2 4 6 9 11	Raga Mrunganandana (Inde)	Raga Mrunganandana (India)
0 1 6 7 11	Raga Multani (Inde)	Raga Multani (India)
0 1 2 6 7	Raga Nabhomani (Inde)	Raga Nabhomani (India)
0 2 5 7 9 11	Raga Nagagandhari (Inde)	Raga Nagagandhari (India)
0 2 4 5 7 11	Raga Nalinakanti,Kedaram (Inde)	Raga Nalinakanti,Kedaram (India)
0 3 4 5 7 9 10	Raga Nandkauns (Inde)	Raga Nandkauns (India)
0 3 5 7 11	Raga Nata,Madhuranjani (Inde)	Raga Nata,Madhuranjani (India)
0 2 5 7 8 10	Raga Navamanohari (Inde)	Raga Navamanohari (India)
0 2 3 6 8 9	Raga Neelangi (Inde)	Raga Neelangi (India)
0 2 6 7 9 11	Raga Nishadi (Inde)	Raga Nishadi (India)
0 1 5 7 8 11	Raga Padi (Inde)	Raga Padi (India)
0 4 5 7 8 11	Raga Paraju Simhavahini l'Inde	Raga Paraju  Simhavahini India
0 1 5 7 8 10	Raga Phenadyuti (Inde)	Raga Phenadyuti (India)
0 2 5 8 11	Raga Priyadharshini (Inde)	Raga Priyadharshini (India)
0 5 7 9 11	Raga Puruhutika,Purvaholika (Inde)	Raga Puruhutika,Purvaholika (India)
0 2 4 5 9 10	Raga Rageshri,Nattaikurinji (Inde)	Raga Rageshri,Nattaikurinji (India)
0 2 4 5 9 10 11	Raga Ragesri (Inde)	Raga Ragesri (India)
0 1 4 5 6 7 8 11	Raga Ramkali (Inde)	Raga Ramkali (India)
0 2 3 6 9 11	Raga Ranjani,Rangini (Inde)	Raga Ranjani,Rangini (India)
0 3 4 6 7 11	Raga Rasamanjari (Inde)	Raga Rasamanjari (India)
0 1 5 7 9 10	Raga Rasavali (Inde)	Raga Rasavali (India)
0 2 5 9 11	Raga Rasranjani (Inde)	Raga Rasranjani (India)
0 1 4 7 8	Raga Reva,Revagupti (Inde)	Raga Reva,Revagupti (India)
0 1 4 5 9 10	Raga Rudra Pancama (Inde)	Raga Rudra Pancama (India)
0 1 3 7 10	Raga Rukmangi,Pelog 2	Raga Rukmangi,Pelog 2
0 1 3 7 9 10	Raga Salagavarali (Inde)	Raga Salagavarali (India)
0 3 6 7 10	Raga Samudhra Priya (Inde)	Raga Samudhra Priya (India)
0 3 6 7 10	Raga Samudhra Priya (Inde)?	Raga Samudhra Priya (India)?
0 2 4 5 8 11	Raga Sarasanana (Inde)	Raga Sarasanana (India)
0 2 6 7 9 10	Raga Sarasvati (Inde)	Raga Sarasvati (India)
0 4 5 7 8 9	Raga Saravati (# 5) (Inde)	Raga Saravati (#5) (India)
0 4 5 7 8 9	Raga Saravati (B6) (Inde)	Raga Saravati (b6) (India)
0 1 6 7 8	Raga Saugandhini,Yashranjani (Inde)	Raga Saugandhini,Yashranjani (India)
0 1 4 5 7 8 9 11	Raga Saurashtra (Inde)	Raga Saurashtra (India)
0 3 7 8 10	Raga Shailaja (Inde)	Raga Shailaja (India)
0 2 6 7 9	Raga Shri Kalyan	Raga Shri Kalyan
0 2 6 9 11	Raga Shubravarni (Inde)	Raga Shubravarni (India)
0 1 3 5 7 8	Raga Simantini (Inde)	Raga Simantini (India)
0 2 3 6 7 10	Raga Simharava (Inde)	Raga Simharava (India)
0 2 3 5 7 11	Raga Sindhura Kafi (Inde)	Raga Sindhura Kafi (India)
0 2 4 5 7 10	Raga Siva Kambhoji,Vivardhini (Inde)	Raga Siva Kambhoji,Vivardhini (India)
0 1 4 5 8 11	Raga Sohini (Inde)	Raga Sohini (India)
0 2 5 7 9 10 11	Raga Sorati (Inde)	Raga Sorati (India)
0 2 3 5 7 9	Raga Suddha Bangala (Inde)	Raga Suddha Bangala (India)
0 1 2 5 8 9	Raga Suddha Mukhari (Inde)	Raga Suddha Mukhari (India)
0 2 3 6 7 8	Raga Syamalam (Inde)	Raga Syamalam (India)
0 3 5 7 8 11	Raga Takka (Inde)	Raga Takka (India)
0 4 5 7 10 11	Raga Tilang,Savitri (Inde)	Raga Tilang,Savitri (India)
0 2 3 7 8 10	Raga Trimurti	Raga Trimurti
0 2 6 7 11	Raga Vaijayanti (Inde)	Raga Vaijayanti (India)
0 4 7 9 10	Raga Valaji (Inde)	Raga Valaji (India)
0 1 4 5 9 11	Raga Vasanta,Chayavati (Inde)	Raga Vasanta,Chayavati (India)
0 1 4 5 8 10	Raga Vasantabhairavi	Raga Vasantabhairavi
0 2 3 6 7 9	Raga Vijayanagari	Raga Vijayanagari
0 1 2 6 7 11	Raga Vijayasri (Inde)	Raga Vijayasri (India)
0 4 6 7 10 11	Raga Vijayavasanta (Inde)	Raga Vijayavasanta (India)
0 1 3 5 8 11	Raga Viyogavarali	Raga Viyogavarali
0 4 6 7 9 10	Raga Vutari (Inde)	Raga Vutari (India)
0 2 4 6 7 9	Raga Yamuna Kalyani	Raga Yamuna Kalyani
0 4 5 7 8	Raga Zilaf (Inde)	Raga Zilaf (India)
0 1 3 5 8 10	Ritsu	Ritsu
0 2 5 7 9	Ritusen Japon,pentatonique écossaise,Zhi (Chine),Raga Devakriya (Inde),Ujo (Corée)	Ritusen Japan,Scottish Pentatonic,Zhi (China),Raga Devakriya (India),Ujo (Korea)
0 3 4 5 7 9 10	Rock'n Roll,Raga Nandkauns (Inde)	Rock 'n Roll,Raga Nandkauns (India)
0 4 5 8 11	Roumaine Bacovia	Romanian Bacovia
0 1 4 6 7 9 10	Roumaine Majeure,Purvi bVII	Romanian Major,Purvi bVII
0 2 3 6 7 9 10	Roumaine,Gnossiennes,mineur ukrainien Raja,dorien avec quarte augmentée	Romanian,Gnossiennes,Ukrainian minor Raja,Dorian with a sharp fourth
0 2 3 4 7 8 10	Sabach (Grèce)	Sabach (Greece)
0 2 4 5 7 9	Écossaise hexatonique,Arezzo Majeur,Hexacorde diatonique	Scottish Hexatonic,Arezzo Major,Diatonic Hexachord
0 1 3 4 6 7 9 11	Shostakovich,Shostakovich nommée en cyrillique monogramme	Shostakovich,Shostakovich name in Cyrillic monogram
0 1 3 4 5 6 8 10	Espagnole 8 Tons	Spanish 8 Tones
0 3 4 5 6 8 10	Espagnole heptatonique	Spanish Heptatonic
0 1 3 4 6 8 10	SuperLocrien,Super Locrien,Ton-par-Ton diminué	Superlocrian,Super Locrian,Diminished Whole-Tone
0 2 3 6 8 10	Takemitsu Tree Line Mode 2	Takemitsu Tree Line Mode 2
0 2 3 6 8 11	Takemitsu Tree Line Mode 1	Takemitsu Tree Line Mode 1
0 1 3 6 7 9 10	Todi bVII Mela Sadvidhamargini (Inde)	Todi bVII Mela Sadvidhamargini (India)
0 1 3 4 6 8 9	Ultra Locrien	Ultra Locrian
0 2 3 5 7 8 10 11	Utility Minor,Raga Suha (Inde),Grégorien 4	Utility Minor,Raga Suha (India),Gregorian 4
0 2 4 6 8 10	Ton-par-Ton,Auxiliaire Augmentée,Messiaen 1er mode,Raga Gopriya (Inde),anhémitonique hexatonique	Whole-Tone,Auxillary Augmented,Messiaen 1st Mode,Raga Gopriya (India),Anhemitonic Hexatonic
0 2 3 5 7 8 9 11	Zirafkend (Arabie)	Zirafkend (Arabia)
