code	name	en
0 2 3 7 8	Hirajoshi (Japon)	Hirajoshi (Japan)
0 1 3 5 6 10	Honchoshi Plagal Form	Honchoshi Plagal Form
0 3 4 5 7 9 11	Houzam (Grèce),Raga Saildesakshi,Trishuli (Inde)	Houzam (Greece),Raga Saildesakshi,Trishuli (India)
0 1 4 5 7 8 11	hongroise folk,byzantine Majeur Gypsy,Bhairav ​​Thaat (Inde),Mela Mayamalavagaula (Inde),Raga Paraj (Inde),Hitzazkiar (Grèce)	Hungarian Folk,Byzantine Major Gypsy,Bhairav Thaat (India),Mela Mayamalavagaula (India),Raga Paraj (India),Hitzazkiar (Greece)
0 2 3 6 7 8 10	Gypsy hongrois,Mela Sanmukhapriya (Inde)	Hungarian Gypsy,Mela Sanmukhapriya (India)
0 2 3 6 7 8 10	Gypsy hongrois,Damian Emmanuel,Mela Sanmukhapriya (Inde)	Hungarian Gypsy,Damian Emmanuel,Mela Sanmukhapriya (India)
0 3 4 6 7 9 10	Hongroise Majeure,Raga Nasamani (Inde)	Hungarian Major,Raga Nasamani (India)
0 2 3 6 7 8 11	Hongroise Mineure,Nawa Athar Maqam (Arabie),double Mineure Harmonique,Niavent (Grèce)	Hungarian Minor,Maqam Nawa Athar (Arabia),Double Harmonic Minor,Niavent (Greece)
0 1 2 3 6 7 8 11	hongroise mineure b2	Hungarian Minor b2
0 1 3 4 7 8 10	Indienne,Phrygien quarte diminuée	Indian,Phrygian dim 4th
0 4 5 7 11	Ionien pentatonique,Raga Gambhiranata (Inde)	Ionian Pentatonic,Raga Gambhiranata (India)
0 2 4 5 7 9 11	Majeure,Ionien,Bilaval C à B asc. nats.,Thaat,Nid Murub (sumérienne)	Major,Ionian,Bilaval  C to B asc.  nats.,Thaat,Nid Murub (Sumerian)
0 1 5 6 10	Iwato (Japon)	Iwato (Japan)
0 1 3 6 7	Pentacorde japonais	Japanese Pentachord
0 1 5 7 8	Japonaise,Sakura Pentatonic Soft Descend	Japanese,Sakura Pentatonic Soft Descend
0 1 3 6 7	Pentacorde Javanais	Javanese Pentachord
0 1 3 5 7 9 10	Jazz Mineur inverse,javanaise,dorien bII,Hindi	Jazz Minor Inverse,Javanese,Dorian bII,Hindi
0 1 3 4 5 7 9 10	JG octatonique	JG Octatonic
0 1 5 7 10	Kokin-Joshi,Soft Ascend Japan,Miyakobushi (Japon)	Kokin-Joshi,Soft Ascend Japan,Miyakobushi (Japan)
0 2 4 6 9	Kung	Kung
0 2 4 6 8 10 11	Ton-par-Ton sensible	Leading Whole-Tone
0 1 3 5 6 8 10	Locrien - B à A ascendant naturel,Qablitum (sumérienne)	Locrian  - B to A Ascending naturals,Qablitum (Sumerian)
0 2 3 5 6 8 11	Locrien 2	Locrian 2
0 1 3 5 6 8 9	Bb7 Locrien	Locrian bb7
0 1 3 5 6 9 10	Locrien naturel Maj 6,Pseudo turque	Locrian Natural Maj 6,Pseudo Turkish
0 3 4 7 9 11	lydien #2 hexatonique	Lydian #2 Hexatonic
0 3 4 6 7 9 11	lydien #2,Raga Kuksumakaram	Lydian #2,Raga Kuksumakaram
0 1 3 4 6 8 10	lydien Augmenté,Hindi 5 bémoles & bIV,Super Locrien 6 bémoles	Lydian Augmented,Hindi 5 flats & bIV,Super Locrian 6 flats
0 2 4 6 8 9 11	lydien Augmenté,Hindi #IV & #V	Lydian Augmented,Hindi #IV & #V
0 2 3 4 6 7 9 11	lydien b3	Lydian b3
0 3 4 7 9 11	lydien b3 hexatonique	Lydian b3 Hexatonic
0 2 4 6 7 9 10	lydien b7,Harmonique,Hindi #IV & bVII,Mela Vacaspati (Inde),Raga Bhusavati (Inde),lydien Mixolydien,Bartok	Lydian b7,Overtone,Hindi #IV & bVII,Mela Vacaspati (India),Raga Bhusavati (India),Lydian Mixolydian,Bartok
0 2 3 4 6 7 9 10	lydien Dim b7	Lydian Dim b7
0 2 3 6 7 9 11	lydien diminué,Raga Dumyaraga,Madhuvanti,Ambika (Inde)	Lydian Diminished,Raga Dumyaraga,Madhuvanti,Ambika (India)
0 2 4 6 7 9 10 11	lydien Dominant + septième naturel,lydien à la fois naturel et 7e dominante	Lydian Dominant + natural seventh,Lydian with both natural and dominant 7th
0 2 4 7 9 11	lydien hexatonique	Lydian Hexatonic
0 2 4 6 7 8 10	lydien mineur,Stravinski,Raga Ratipriya (Inde)	Lydian Minor,Stravinski,Raga Ratipriya (India)
0 2 4 6 7	Pentacorde lydien	Lydian Pentachord
0 2 4 6 7 9 11	lydien,Kalyan F à E ascendant naturel,Ping (Chine),Nis Garb.ri (mésopotamienne)	Lydian,Kalyan F to E ascending naturals,Ping (China),Nis Garb.ri (Mesopotamian)
0 1 3 4 6 8 9 11	Magen Abot	Magen Abot
0 2 4 5 7 8 9 11	Majeur Bebop	Major Bebop
0 2 4 5 7 8 9	Majeur Bebop heptatonique,Mela Mararanjani (Inde)	Major Bebop Heptatonic,Mela Mararanjani (India)
0 2 4 7 8 9	Majeur Bebop hexatonique	Major Bebop Hexatonic
0 2 3 4 7 9	Blues Majeur,Blues dorien hexatonique	Major Blues,Blues Dorian Hexatonic
0 2 4 5 6 8 10	Locrien Majeur	Major Locrian
0 2 4 5 6 7 9 11	Lydien Majeur,Genus Diatonicum Veterum Correctum,Ishikotsucho (Japon)	Major Lydian,Genus Diatonicum Veterum Correctum,Ishikotsucho (Japan)
0 2 4 5 7 8 10	Majeur Mineur,hindoue BVI & bVII,Mela Carukesi (Inde),Raga Tarangini (Inde)	Major Minor,Hindu bVI & bVII,Mela Carukesi (India),Raga Tarangini (India)
0 2 4 5 7	Pentacorde majeur	Major Pentachord
